,action,correct_resp,is_type,resp_time,response,trial_type,trigger_name,cpu_trigger_time,task,trigger,trigger_time,trigger_index
0,Paint_45L,False,True,,timeout,Direction,mov_start,56.54827284812927,Bio_Motion,2,960.9076,1921815
1,Paint_45L,False,True,,timeout,Direction,time_of_resp,57.0,Bio_Motion,17,970.9076,1941815
2,Saw_45R,False,False,8.981996774673462,left,Direction,mov_start,68.86109399795532,Bio_Motion,2,973.2204,1946440
3,Saw_45R,False,False,8.981996774673462,left,Direction,time_of_resp,77.84309077262878,Bio_Motion,5,982.2024,1964404
4,Row_45L,False,True,7.4823479652404785,right,Direction,mov_start,79.93512797355652,Bio_Motion,2,984.2945,1968588
5,Row_45L,False,True,7.4823479652404785,right,Direction,time_of_resp,87.417475938797,Bio_Motion,5,991.7768,1983553
6,Saw_0MM,True,False,3.588460922241211,down,Direction,mov_start,89.50655794143677,Bio_Motion,2,993.8659,1987731
7,Saw_0MM,True,False,3.588460922241211,down,Direction,time_of_resp,93.09501886367798,Bio_Motion,5,997.4544,1994908
8,Drive_45L,False,True,8.168386936187744,down,Direction,mov_start,95.18387484550476,Bio_Motion,2,999.5432,1999086
9,Drive_45L,False,True,8.168386936187744,down,Direction,time_of_resp,103.3522617816925,Bio_Motion,5,1007.7116,2015423
10,Crawl_45R,False,False,,timeout,Direction,mov_start,105.44437885284424,Bio_Motion,2,1009.8037,2019607
11,Crawl_45R,False,False,,timeout,Direction,time_of_resp,106.0,Bio_Motion,17,1019.8037,2039607
12,Control_Walk_45L,False,False,7.48302698135376,right,Direction,mov_start,117.74895286560059,Bio_Motion,1,1022.1083,2044216
13,Control_Walk_45L,False,False,7.48302698135376,right,Direction,time_of_resp,125.23197984695435,Bio_Motion,4,1029.5913,2059182
14,Control_Drive_45R,False,False,5.565969944000244,down,Direction,mov_start,127.3254828453064,Bio_Motion,1,1031.6848,2063369
15,Control_Drive_45R,False,False,5.565969944000244,down,Direction,time_of_resp,132.89145278930664,Bio_Motion,4,1037.2508,2074501
16,Control_Saw_45R,False,False,7.182181119918823,down,Direction,mov_start,134.98399782180786,Bio_Motion,1,1039.3433,2078686
17,Control_Saw_45R,False,False,7.182181119918823,down,Direction,time_of_resp,142.16617894172668,Bio_Motion,4,1046.5255,2093051
18,Walk_45R,True,False,5.481877088546753,right,Direction,mov_start,144.26071882247925,Bio_Motion,2,1048.6201,2097240
19,Walk_45R,True,False,5.481877088546753,right,Direction,time_of_resp,149.742595911026,Bio_Motion,5,1054.1019,2108203
20,Cycle_45L,False,True,,timeout,Direction,mov_start,151.83346486091614,Bio_Motion,2,1056.1928,2112385
21,Cycle_45L,False,True,,timeout,Direction,time_of_resp,152.0,Bio_Motion,17,1066.1928,2132385
22,Control_Row_45R,False,False,9.912065982818604,left,Direction,mov_start,164.17405796051025,Bio_Motion,1,1068.5334,2137066
23,Control_Row_45R,False,False,9.912065982818604,left,Direction,time_of_resp,174.08612394332886,Bio_Motion,4,1078.4455,2156890
24,Sweep_90R,False,False,5.150006055831909,left,Direction,mov_start,176.17948389053345,Bio_Motion,2,1080.5388,2161077
25,Sweep_90R,False,False,5.150006055831909,left,Direction,time_of_resp,181.32948994636536,Bio_Motion,5,1085.6888,2171377
26,Sweep_45R,True,False,5.248363018035889,right,Direction,mov_start,183.42413187026978,Bio_Motion,2,1087.7835,2175566
27,Sweep_45R,True,False,5.248363018035889,right,Direction,time_of_resp,188.67249488830566,Bio_Motion,5,1093.0318,2186063
28,Control_Crawl_45L,False,False,,timeout,Direction,mov_start,190.76516389846802,Bio_Motion,1,1095.1245,2190249
29,Control_Crawl_45L,False,False,,timeout,Direction,time_of_resp,191.0,Bio_Motion,16,1105.1245,2210249
30,Paint_45R,False,False,3.8171229362487793,down,Direction,mov_start,203.10497999191284,Bio_Motion,2,1107.4165,2214833
31,Paint_45R,False,False,3.8171229362487793,down,Direction,time_of_resp,206.92210292816162,Bio_Motion,5,1111.032,2222064
32,Control_Jump_0MM,True,False,4.250622034072876,down,Direction,mov_start,209.01532983779907,Bio_Motion,1,1113.3245,2226649
33,Control_Jump_0MM,True,False,4.250622034072876,down,Direction,time_of_resp,213.26595187187195,Bio_Motion,4,1117.3685,2234737
34,Row_45R,True,False,8.5468270778656,right,Direction,mov_start,215.35926485061646,Bio_Motion,2,1119.7186,2239437
35,Row_45R,True,False,8.5468270778656,right,Direction,time_of_resp,223.90609192848206,Bio_Motion,5,1127.992,2255984
36,Control_Saw_0MM,True,False,5.0655200481414795,down,Direction,mov_start,226.00049877166748,Bio_Motion,1,1130.3598,2260719
37,Control_Saw_0MM,True,False,5.0655200481414795,down,Direction,time_of_resp,231.06601881980896,Bio_Motion,4,1135.4254,2270850
38,Control_Paint_45L,True,False,2.265105962753296,down,Direction,mov_start,233.1635239124298,Bio_Motion,1,1137.5229,2275045
39,Control_Paint_45L,True,False,2.265105962753296,down,Direction,time_of_resp,235.4286298751831,Bio_Motion,4,1139.506,2279012
40,Control_Cycle_45L,False,False,4.081416130065918,invalid_resp,Direction,mov_start,237.52492785453796,Bio_Motion,1,1141.8843,2283768
41,Control_Cycle_45L,False,False,4.081416130065918,invalid_resp,Direction,time_of_resp,241.60634398460388,Bio_Motion,4,1145.9657,2291931
42,Control_Crawl_45R,True,False,5.81344199180603,right,Direction,mov_start,243.70189881324768,Bio_Motion,1,1148.0612,2296122
43,Control_Crawl_45R,True,False,5.81344199180603,right,Direction,time_of_resp,249.5153408050537,Bio_Motion,4,1153.8747,2307749
44,Control_Walk_45R,False,False,3.3659420013427734,invalid_resp,Direction,mov_start,251.61102390289307,Bio_Motion,1,1155.9704,2311940
45,Control_Walk_45R,False,False,3.3659420013427734,invalid_resp,Direction,time_of_resp,254.97696590423584,Bio_Motion,4,1159.3363,2318672
