,action,correct_resp,is_type,resp_time,response,time_of_resp,trial_type,trigger_name,cpu_trigger_time,task,trigger,trigger_time,trigger_index
0,Paint_45L,False,True,,timeout,timeout,Direction,mov_start,56.54827284812927,Bio_Motion,2,960.9076,1921815
1,Saw_45R,False,False,8.981996774673462,left,77.84309077262878,Direction,mov_start,68.86109399795532,Bio_Motion,17,970.9076,1941815
2,Row_45L,False,True,7.4823479652404785,right,87.417475938797,Direction,mov_start,79.93512797355652,Bio_Motion,2,973.2204,1946440
3,Saw_0MM,True,False,3.588460922241211,down,93.09501886367798,Direction,mov_start,89.50655794143677,Bio_Motion,5,982.2024,1964404
4,Drive_45L,False,True,8.168386936187744,down,103.3522617816925,Direction,mov_start,95.18387484550476,Bio_Motion,2,984.2945,1968588
5,Crawl_45R,False,False,,timeout,timeout,Direction,mov_start,105.44437885284424,Bio_Motion,5,991.7768,1983553
6,Control_Walk_45L,False,False,7.48302698135376,right,125.23197984695435,Direction,mov_start,117.74895286560059,Bio_Motion,2,993.8659,1987731
7,Control_Drive_45R,False,False,5.565969944000244,down,132.89145278930664,Direction,mov_start,127.3254828453064,Bio_Motion,5,997.4544,1994908
8,Control_Saw_45R,False,False,7.182181119918823,down,142.16617894172668,Direction,mov_start,134.98399782180786,Bio_Motion,2,999.5432,1999086
9,Walk_45R,True,False,5.481877088546753,right,149.742595911026,Direction,mov_start,144.26071882247925,Bio_Motion,5,1007.7116,2015423
10,Cycle_45L,False,True,,timeout,timeout,Direction,mov_start,151.83346486091614,Bio_Motion,2,1009.8037,2019607
11,Control_Row_45R,False,False,9.912065982818604,left,174.08612394332886,Direction,mov_start,164.17405796051025,Bio_Motion,17,1019.8037,2039607
12,Sweep_90R,False,False,5.150006055831909,left,181.32948994636536,Direction,mov_start,176.17948389053345,Bio_Motion,2,1022.1083,2044216
13,Sweep_45R,True,False,5.248363018035889,right,188.67249488830566,Direction,mov_start,183.42413187026978,Bio_Motion,5,1029.5913,2059182
